new_filename,dataset,split,original_archive,original_path,original_filename,width,height,sha256,license,source_url
003353.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00001.jpg,img_00001.jpg,756,1008,b063aed513792719fbd701102e1b40f730bf043a6136200f13b729f919f998ea,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003354.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00002.jpg,img_00002.jpg,779,1107,35bec8400ded7239a5091c5d320ed78fb6c35c2e27e43659423afe05d277d7d2,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003355.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00003.jpg,img_00003.jpg,947,1263,7de35787189ddf236da3ae84fde6ca12bffec84b6243089efcc3764e5d226817,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003356.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00004.jpg,img_00004.jpg,1119,839,f4b2f19308568565ff4919c668c778614fcee4c41b59301584580c09224b0c56,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003357.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00005.jpg,img_00005.jpg,796,603,6e0e023b4f2fa2d06d76b11f57153b9237f386cbe803403b9808c905884cc06f,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003358.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00006.jpg,img_00006.jpg,1027,770,4fa6747af87351ad27352257d7d059c246aa484e53864ff24e793cf34a037d47,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003359.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00007.jpg,img_00007.jpg,859,1145,e13020ba454447aeac7ceb7789ac3b83c54035eccdd96fffa72859d0f79a9c9f,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003360.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00008.jpg,img_00008.jpg,1014,761,4c1fc8c2898db8c42ac5ebacf0bdafee05a10e0a69559567e7ee7db83993f63e,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003361.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00009.jpg,img_00009.jpg,1342,1006,588d36ed00daa371f2b4af2ecf49c4d402ad67e55b6f94c51a0dd1814af51d28,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003362.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00010.jpg,img_00010.jpg,876,1049,c183ded7900cc2346720925c2d1efcd473f78d5786019536b5081c3868057572,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003363.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00011.jpg,img_00011.jpg,1008,756,b354d59f381778901dd36279f87dfbd76ea8a93a0f8847567ed705a44e808e9c,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003364.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00012.jpg,img_00012.jpg,1008,756,015aae54d3713fb788773515af2a31a1ab197f63fa760467a7e4ccefaf5009a3,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003365.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00013.jpg,img_00013.jpg,1008,756,603702aa24a82e124d5c79e2e358f74e3c7a26a562be25a4ac1cd55cf4b08c3f,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003366.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00014.jpg,img_00014.jpg,1234,816,61689579ed147dc8a13331553056a3f9f3eac5b8774b12dade924b7072d5f1b2,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003367.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00015.jpg,img_00015.jpg,1248,937,d96664bffd944b68f4e80dcfe2aeae65aed219443ec7728fa113158df9acdb4c,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003368.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00016.jpg,img_00016.jpg,913,684,f7697b401eb942321df971d3eadb4338f70ec69dc9b944cb8772901480cbd0f6,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003369.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00017.jpg,img_00017.jpg,1035,776,9415985255c83ca42c82be1334f61b34ef9525bb2be6742d6fca9cce4c5bd94c,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003370.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00018.jpg,img_00018.jpg,1096,822,18b1ccb285ce5d7cda3216b7b746e4412f0a07821e3b594240bb3a70f073a6da,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003371.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00019.jpg,img_00019.jpg,1075,793,7013b49ae7be7211ed838baa92f7a7b507702d10621aa61bcb618292a56807af,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003372.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00020.jpg,img_00020.jpg,1094,808,4abc5de92763b6bf364c1ebcaf1f3c6a87fd7004417dd7e8a89159041cccbb3e,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003373.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00021.jpg,img_00021.jpg,1069,802,9cdce94b74fba5eda7ada7cf87dd6cb8e1554a73e0d0495e16b39147c6cec1ea,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003374.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00022.jpg,img_00022.jpg,975,708,5fd22f9e06c441289a5fbc08dcc1697c9ec25992ef00f5e6876dfeeef4b9d1d8,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003375.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00023.jpg,img_00023.jpg,1246,935,c919c048e03859a8dcde98084e854f01a07dd99d17c212c8d65b811b91fab978,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003376.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00024.jpg,img_00024.jpg,1320,990,e83ae0c4461294040e3087bf02d6892d44e5e43d89faecc327cbc1996e2c35ea,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003377.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00025.jpg,img_00025.jpg,1348,1011,d5e0d997d75018da07a75f4ae2813c5e64b450ca394a32f5d4d313302bc3959b,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
003378.jpg,ExpDate,real_train,Products-Real.zip,Products-Real/train/images/img_00026.jpg,img_00026.jpg,1295,971,8b3f6bb50df605a4e82be731e73c1aaa279e7cad2a79c240e4c2932fc0daf372,CC BY 4.0,https://felizang.github.io/expdate/index_expdate.html
